
2024/12/28 (23:04:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (21:49:21) | ===> btop++ v.1.4.0
2025/01/12 (21:49:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/12 (21:49:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/12 (21:49:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (22:16:59) | ===> btop++ v.1.4.0
2025/01/15 (22:16:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/15 (22:16:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/15 (22:16:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (22:17:21) | ===> btop++ v.1.4.0
2025/01/15 (22:17:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/15 (22:17:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/15 (22:17:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (22:17:53) | ===> btop++ v.1.4.0
2025/01/15 (22:17:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/15 (22:17:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/15 (22:17:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (22:34:30) | ===> btop++ v.1.4.0
2025/01/15 (22:34:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/15 (22:34:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/15 (22:34:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (22:37:59) | ===> btop++ v.1.4.0
2025/01/15 (22:37:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/15 (22:37:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/15 (22:37:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (21:38:55) | ===> btop++ v.1.4.0
2025/01/22 (21:38:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/22 (21:38:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/22 (21:38:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (11:13:51) | ===> btop++ v.1.4.0
2025/02/01 (11:13:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/01 (11:13:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/01 (11:13:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (15:48:23) | ===> btop++ v.1.4.0
2025/02/23 (15:48:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/23 (15:48:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/23 (15:48:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (16:01:13) | ===> btop++ v.1.4.0
2025/03/01 (16:01:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/01 (16:01:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/01 (16:01:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (17:11:55) | ===> btop++ v.1.4.0
2025/03/01 (17:11:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/01 (17:11:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/01 (17:11:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (17:21:32) | ===> btop++ v.1.4.0
2025/03/01 (17:21:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/01 (17:21:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/01 (17:21:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (17:24:57) | ===> btop++ v.1.4.0
2025/03/01 (17:24:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/01 (17:24:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/01 (17:24:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (17:56:45) | ===> btop++ v.1.4.0
2025/03/01 (17:56:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/01 (17:56:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported
